,userId,movieId,rating,timestamp,title,genres,KID,year,decade,count,mean
127,1,2078,5.0,964982838,"Jungle Book, The (1967)",Animation|Children|Comedy|Musical,YES,1967,1960,53,3.830188679245283
128,1,2090,5.0,964982838,"Rescuers, The (1977)",Adventure|Animation|Children|Crime|Drama,YES,1977,1970,13,3.1923076923076925
129,1,2093,3.0,964981710,Return to Oz (1985),Adventure|Children|Fantasy,YES,1985,1980,6,3.0
131,1,2096,4.0,964982838,Sleeping Beauty (1959),Animation|Children|Musical,YES,1959,1950,22,3.409090909090909
132,1,2099,4.0,964982588,Song of the South (1946),Adventure|Animation|Children|Musical,YES,1946,1940,6,3.4166666666666665
135,1,2116,5.0,964982876,"Lord of the Rings, The (1978)",Adventure|Animation|Children|Fantasy,YES,1978,1970,15,3.1333333333333333
136,1,2137,5.0,964982791,Charlotte's Web (1973),Animation|Children,YES,1973,1970,21,3.5476190476190474
137,1,2139,5.0,964982791,"Secret of NIMH, The (1982)",Adventure|Animation|Children|Drama,YES,1982,1980,21,3.4761904761904763
138,1,2141,5.0,964982838,"American Tail, An (1986)",Adventure|Animation|Children|Comedy,YES,1986,1980,18,3.1666666666666665
140,1,2161,5.0,964981710,"NeverEnding Story, The (1984)",Adventure|Children|Fantasy,YES,1984,1980,43,3.5813953488372094
155,1,2414,3.0,964982513,Young Sherlock Holmes (1985),Action|Adventure|Children|Fantasy|Mystery|Thriller,YES,1985,1980,11,3.3636363636363638
181,1,2761,5.0,964982703,"Iron Giant, The (1999)",Adventure|Animation|Children|Drama|Sci-Fi,YES,1999,1990,39,4.051282051282051
194,1,2987,5.0,964982495,Who Framed Roger Rabbit? (1988),Adventure|Animation|Children|Comedy|Crime|Fantasy|Mystery,YES,1988,1980,97,3.5721649484536084
199,1,3034,5.0,964982791,Robin Hood (1973),Adventure|Animation|Children|Comedy|Musical,YES,1973,1970,36,3.513888888888889
211,1,3439,4.0,964981799,Teenage Mutant Ninja Turtles II: The Secret of the Ooze (1991),Action|Children|Fantasy,YES,1991,1990,13,2.6923076923076925
212,1,3440,4.0,964981799,Teenage Mutant Ninja Turtles III (1993),Action|Adventure|Children|Comedy|Fantasy,YES,1993,1990,14,2.0714285714285716
230,1,4006,4.0,964982903,Transformers: The Movie (1986),Adventure|Animation|Children|Sci-Fi,YES,1986,1980,7,3.357142857142857
273,3,1302,0.5,1306464189,Field of Dreams (1989),Children|Drama|Fantasy,YES,1989,1980,56,3.517857142857143
276,3,2018,0.5,1306464175,Bambi (1942),Animation|Children|Drama,YES,1942,1940,38,3.3684210526315788
277,3,2080,0.5,1306463572,Lady and the Tramp (1955),Animation|Children|Comedy|Romance,YES,1955,1950,55,3.4
278,3,2090,0.5,1306464261,"Rescuers, The (1977)",Adventure|Animation|Children|Crime|Drama,YES,1977,1970,13,3.1923076923076925
288,3,5048,0.5,1306464284,Snow Dogs (2002),Adventure|Children|Comedy,YES,2002,2000,6,2.3333333333333335
308,4,126,1.0,986848920,"NeverEnding Story III, The (1994)",Adventure|Children|Fantasy,YES,1994,1990,7,2.0
338,4,588,4.0,945079670,Aladdin (1992),Adventure|Animation|Children|Comedy|Musical,YES,1992,1990,183,3.7923497267759565
340,4,595,3.0,986848609,Beauty and the Beast (1991),Animation|Children|Fantasy|Musical|Romance|IMAX,YES,1991,1990,146,3.7705479452054793
356,4,919,5.0,945079521,"Wizard of Oz, The (1939)",Adventure|Children|Fantasy|Musical,YES,1939,1930,92,3.880434782608696
360,4,1025,4.0,945079232,"Sword in the Stone, The (1963)",Animation|Children|Fantasy|Musical,YES,1963,1960,25,3.58
364,4,1073,4.0,945079483,Willy Wonka & the Chocolate Factory (1971),Children|Comedy|Fantasy|Musical,YES,1971,1970,119,3.8739495798319328
390,4,1282,5.0,945079653,Fantasia (1940),Animation|Children|Fantasy|Musical,YES,1940,1930,53,3.7830188679245285
415,4,1907,3.0,964540505,Mulan (1998),Adventure|Animation|Children|Comedy|Drama|Musical|Romance,YES,1998,1990,45,3.566666666666667
425,4,2078,5.0,945079521,"Jungle Book, The (1967)",Animation|Children|Comedy|Musical,YES,1967,1960,53,3.830188679245283
513,4,4896,4.0,1007574532,Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001),Adventure|Children|Fantasy,YES,2001,2000,107,3.7616822429906542
516,5,1,4.0,847434962,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,YES,1995,1990,215,3.9209302325581397
518,5,34,4.0,847434881,Babe (1995),Children|Drama,YES,1995,1990,128,3.65234375
540,5,364,3.0,847434882,"Lion King, The (1994)",Adventure|Animation|Children|Drama|Musical|IMAX,YES,1994,1990,172,3.941860465116279
543,5,410,3.0,847435292,Addams Family Values (1993),Children|Comedy|Fantasy,YES,1993,1990,84,3.1011904761904763
549,5,531,4.0,847435258,"Secret Garden, The (1993)",Children|Drama,YES,1993,1990,24,3.25
551,5,588,4.0,847434801,Aladdin (1992),Adventure|Animation|Children|Comedy|Musical,YES,1992,1990,183,3.7923497267759565
555,5,594,5.0,847435238,Snow White and the Seven Dwarfs (1937),Animation|Children|Drama|Fantasy|Musical,YES,1937,1930,77,3.616883116883117
556,5,595,5.0,847434832,Beauty and the Beast (1991),Animation|Children|Fantasy|Musical|Romance|IMAX,YES,1991,1990,146,3.7705479452054793
557,5,596,5.0,847435292,Pinocchio (1940),Animation|Children|Fantasy|Musical,YES,1940,1930,60,3.45
560,6,2,4.0,845553522,Jumanji (1995),Adventure|Children|Fantasy,YES,1995,1990,110,3.4318181818181817
566,6,8,3.0,845555281,Tom and Huck (1995),Adventure|Children,YES,1995,1990,8,2.875
569,6,13,3.0,845555588,Balto (1995),Adventure|Animation|Children,YES,1995,1990,8,3.125
579,6,27,3.0,845555402,Now and Then (1995),Children|Drama,YES,1995,1990,9,3.3333333333333335
582,6,34,4.0,845553354,Babe (1995),Children|Drama,YES,1995,1990,128,3.65234375
591,6,60,4.0,845554263,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,YES,1995,1990,34,3.235294117647059
599,6,87,3.0,845555300,Dunston Checks In (1996),Children|Comedy,YES,1996,1990,7,2.5
612,6,126,3.0,845555342,"NeverEnding Story III, The (1994)",Adventure|Children|Fantasy,YES,1994,1990,7,2.0
621,6,158,4.0,845553660,Casper (1995),Adventure|Children,YES,1995,1990,62,2.806451612903226
634,6,181,3.0,845553938,Mighty Morphin Power Rangers: The Movie (1995),Action|Children,YES,1995,1990,17,2.264705882352941
661,6,239,3.0,845554987,"Goofy Movie, A (1995)",Animation|Children|Comedy|Romance,YES,1995,1990,17,3.0
665,6,250,4.0,845555588,Heavyweights (Heavy Weights) (1995),Children|Comedy,YES,1995,1990,6,2.5
672,6,258,3.0,845555172,"Kid in King Arthur's Court, A (1995)",Adventure|Children|Comedy|Fantasy|Romance,YES,1995,1990,10,2.6
674,6,262,5.0,845554551,"Little Princess, A (1995)",Children|Drama,YES,1995,1990,21,3.9047619047619047
699,6,314,5.0,845554603,"Secret of Roan Inish, The (1994)",Children|Drama|Fantasy|Mystery,YES,1994,1990,16,3.75
714,6,343,3.0,845555172,"Baby-Sitters Club, The (1995)",Children,YES,1995,1990,5,2.9
724,6,355,4.0,845553819,"Flintstones, The (1994)",Children|Comedy|Fantasy,YES,1994,1990,42,2.357142857142857
731,6,362,3.0,845553994,"Jungle Book, The (1994)",Adventure|Children|Romance,YES,1994,1990,34,3.5294117647058822
732,6,364,5.0,845553317,"Lion King, The (1994)",Adventure|Animation|Children|Drama|Musical|IMAX,YES,1994,1990,172,3.941860465116279
738,6,374,3.0,845554296,Richie Rich (1994),Children|Comedy,YES,1994,1990,25,2.2
746,6,410,3.0,845553354,Addams Family Values (1993),Children|Comedy|Fantasy,YES,1993,1990,84,3.1011904761904763
760,6,455,3.0,845554062,Free Willy (1993),Adventure|Children|Drama,YES,1993,1990,37,2.391891891891892
780,6,502,3.0,845554455,"Next Karate Kid, The (1994)",Action|Children|Romance,YES,1994,1990,15,2.3666666666666667
790,6,531,3.0,845554296,"Secret Garden, The (1993)",Children|Drama,YES,1993,1990,24,3.25
798,6,546,2.0,845554349,Super Mario Bros. (1993),Action|Adventure|Children|Comedy|Fantasy|Sci-Fi,YES,1993,1990,21,2.0
803,6,575,3.0,845555070,"Little Rascals, The (1994)",Children|Comedy,YES,1994,1990,16,2.65625
805,6,588,5.0,845553146,Aladdin (1992),Adventure|Animation|Children|Comedy|Musical,YES,1992,1990,183,3.7923497267759565
810,6,594,4.0,845553819,Snow White and the Seven Dwarfs (1937),Animation|Children|Drama|Fantasy|Musical,YES,1937,1930,77,3.616883116883117
811,6,595,5.0,845553174,Beauty and the Beast (1991),Animation|Children|Fantasy|Musical|Romance|IMAX,YES,1991,1990,146,3.7705479452054793
812,6,596,3.0,845554141,Pinocchio (1940),Animation|Children|Fantasy|Musical,YES,1940,1930,60,3.45
816,6,609,4.0,845555342,Homeward Bound II: Lost in San Francisco (1996),Adventure|Children,YES,1996,1990,14,3.5714285714285716
817,6,616,5.0,845554062,"Aristocats, The (1970)",Animation|Children,YES,1970,1960,45,3.411111111111111
819,6,631,4.0,845555265,All Dogs Go to Heaven 2 (1996),Adventure|Animation|Children|Fantasy|Musical|Romance,YES,1996,1990,11,3.1818181818181817
830,6,709,5.0,845555249,Oliver & Company (1988),Adventure|Animation|Children|Comedy|Musical,YES,1988,1980,11,3.090909090909091
832,6,711,4.0,845555317,Flipper (1996),Adventure|Children,YES,1996,1990,10,3.05
840,6,783,5.0,845554584,"Hunchback of Notre Dame, The (1996)",Animation|Children|Drama|Musical|Romance,YES,1996,1990,47,3.3297872340425534
843,6,801,3.0,845556194,Harriet the Spy (1996),Children|Comedy,YES,1996,1990,11,3.1363636363636362
848,6,837,3.0,845556241,Matilda (1996),Children|Comedy|Fantasy,YES,1996,1990,33,3.272727272727273
856,6,881,3.0,845556340,First Kid (1996),Children|Comedy,YES,1996,1990,5,2.1
861,6,986,4.0,845556475,Fly Away Home (1996),Adventure|Children,YES,1996,1990,13,3.5384615384615383
870,6,1064,4.0,845556579,Aladdin and the King of Thieves (1996),Animation|Children|Comedy|Fantasy|Musical|Romance,YES,1996,1990,13,3.1538461538461537
871,6,1073,3.0,845555571,Willy Wonka & the Chocolate Factory (1971),Children|Comedy|Fantasy|Musical,YES,1971,1970,119,3.8739495798319328
874,7,1,4.5,1106635946,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,YES,1995,1990,215,3.9209302325581397
885,7,588,3.0,1106635971,Aladdin (1992),Adventure|Animation|Children|Comedy|Musical,YES,1992,1990,183,3.7923497267759565
889,7,595,3.5,1106712636,Beauty and the Beast (1991),Animation|Children|Fantasy|Musical|Romance|IMAX,YES,1991,1990,146,3.7705479452054793
927,7,3114,4.5,1106635500,Toy Story 2 (1999),Adventure|Animation|Children|Comedy|Fantasy,YES,1999,1990,97,3.8608247422680413
940,7,4306,4.0,1106635524,Shrek (2001),Adventure|Animation|Children|Comedy|Fantasy|Romance,YES,2001,2000,170,3.8676470588235294
944,7,4700,1.5,1109746591,"Princess Diaries, The (2001)",Children|Comedy|Romance,YES,2001,2000,27,3.037037037037037
947,7,4886,4.0,1106636531,"Monsters, Inc. (2001)",Adventure|Animation|Children|Comedy|Fantasy,YES,2001,2000,132,3.871212121212121
948,7,4896,4.0,1106636718,Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001),Adventure|Children|Fantasy,YES,2001,2000,107,3.7616822429906542
952,7,5218,3.5,1106712866,Ice Age (2002),Adventure|Animation|Children|Comedy,YES,2002,2000,85,3.6882352941176473
975,7,8360,3.5,1106636782,Shrek 2 (2004),Adventure|Animation|Children|Comedy|Musical|Romance,YES,2004,2000,92,3.5760869565217392
987,7,8907,1.0,1110757877,Shark Tale (2004),Animation|Children|Comedy,YES,2004,2000,13,2.3461538461538463
992,7,8961,4.0,1106636064,"Incredibles, The (2004)",Action|Adventure|Animation|Children|Comedy,YES,2004,2000,125,3.836
993,7,8965,1.0,1106636095,"Polar Express, The (2004)",Adventure|Animation|Children|Fantasy|IMAX,YES,2004,2000,11,3.1363636363636362
1002,7,32031,1.5,1122940686,Robots (2005),Adventure|Animation|Children|Comedy|Fantasy|Sci-Fi|IMAX,YES,2005,2000,19,3.026315789473684
1015,7,45517,4.5,1157066190,Cars (2006),Animation|Children|Comedy,YES,2006,2000,41,3.3780487804878048
1026,8,2,4.0,839463806,Jumanji (1995),Adventure|Children|Fantasy,YES,1995,1990,110,3.4318181818181817
1031,8,34,5.0,839463546,Babe (1995),Children|Drama,YES,1995,1990,128,3.65234375
1055,8,364,5.0,839463546,"Lion King, The (1994)",Adventure|Animation|Children|Drama|Musical|IMAX,YES,1994,1990,172,3.941860465116279
1067,8,586,3.0,839463702,Home Alone (1990),Children|Comedy,YES,1990,1980,116,2.9956896551724137
1098,9,5218,4.0,1044656811,Ice Age (2002),Adventure|Animation|Children|Comedy,YES,2002,2000,85,3.6882352941176473
1121,10,588,4.0,1455306173,Aladdin (1992),Adventure|Animation|Children|Comedy|Musical,YES,1992,1990,183,3.7923497267759565
1124,10,1028,0.5,1455306152,Mary Poppins (1964),Children|Comedy|Fantasy|Musical,YES,1964,1960,71,3.887323943661972
1129,10,1907,4.0,1455306183,Mulan (1998),Adventure|Animation|Children|Comedy|Drama|Musical|Romance,YES,1998,1990,45,3.566666666666667
1138,10,4306,4.5,1455356595,Shrek (2001),Adventure|Animation|Children|Comedy|Fantasy|Romance,YES,2001,2000,170,3.8676470588235294
1150,10,6377,3.5,1455306101,Finding Nemo (2003),Adventure|Animation|Children|Comedy,YES,2003,2000,141,3.9609929078014185
1168,10,8961,2.5,1455302401,"Incredibles, The (2004)",Action|Adventure|Animation|Children|Comedy,YES,2004,2000,125,3.836
1200,10,68954,4.0,1455304158,Up (2009),Adventure|Animation|Children|Drama,YES,2009,2000,105,4.004761904761905
1210,10,72737,3.5,1455398131,"Princess and the Frog, The (2009)",Animation|Children|Fantasy|Musical|Romance,YES,2009,2000,12,3.75
1216,10,79091,5.0,1455306124,Despicable Me (2010),Animation|Children|Comedy|Crime,YES,2010,2000,38,3.6842105263157894
1220,10,81847,3.5,1455399313,Tangled (2010),Animation|Children|Comedy|Fantasy|Musical|Romance|IMAX,YES,2010,2000,24,3.9166666666666665
1225,10,87222,3.5,1455306257,Kung Fu Panda 2 (2011),Action|Adventure|Animation|Children|Comedy|IMAX,YES,2011,2010,17,3.323529411764706
1232,10,95167,4.0,1455398177,Brave (2012),Action|Adventure|Animation|Children,YES,2012,2010,30,3.466666666666667
1240,10,103335,4.0,1455398111,Despicable Me 2 (2013),Animation|Children|Comedy|IMAX,YES,2013,2010,19,3.5789473684210527
1416,14,455,3.0,835441812,Free Willy (1993),Adventure|Children|Drama,YES,1993,1990,37,2.391891891891892
1428,14,586,3.0,835441451,Home Alone (1990),Children|Comedy,YES,1990,1980,116,2.9956896551724137
1434,15,1,2.5,1510577970,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,YES,1995,1990,215,3.9209302325581397
1437,15,158,1.0,1299424840,Casper (1995),Adventure|Children,YES,1995,1990,62,2.806451612903226
1444,15,355,1.0,1299425002,"Flintstones, The (1994)",Children|Comedy|Fantasy,YES,1994,1990,42,2.357142857142857
1446,15,364,3.0,1510577958,"Lion King, The (1994)",Adventure|Animation|Children|Drama|Musical|IMAX,YES,1994,1990,172,3.941860465116279
1448,15,588,3.0,1510577985,Aladdin (1992),Adventure|Animation|Children|Comedy|Musical,YES,1992,1990,183,3.7923497267759565
1450,15,596,2.0,1510578088,Pinocchio (1940),Animation|Children|Fantasy|Musical,YES,1940,1930,60,3.45
1470,15,2081,3.0,1510578011,"Little Mermaid, The (1989)",Animation|Children|Comedy|Musical|Romance,YES,1989,1980,67,3.425373134328358
1471,15,2085,1.5,1510578050,101 Dalmatians (One Hundred and One Dalmatians) (1961),Adventure|Animation|Children,YES,1961,1960,44,3.4318181818181817
1494,15,4306,3.0,1510577965,Shrek (2001),Adventure|Animation|Children|Comedy|Fantasy|Romance,YES,2001,2000,170,3.8676470588235294
1497,15,4886,3.5,1510577956,"Monsters, Inc. (2001)",Adventure|Animation|Children|Comedy|Fantasy,YES,2001,2000,132,3.871212121212121
1503,15,5971,2.0,1510577982,My Neighbor Totoro (Tonari no Totoro) (1988),Animation|Children|Drama|Fantasy,YES,1988,1980,37,3.9594594594594597
1505,15,6377,3.0,1510577979,Finding Nemo (2003),Adventure|Animation|Children|Comedy,YES,2003,2000,141,3.9609929078014185
1510,15,8360,2.5,1510578083,Shrek 2 (2004),Adventure|Animation|Children|Comedy|Musical|Romance,YES,2004,2000,92,3.5760869565217392
1512,15,8961,2.5,1510577973,"Incredibles, The (2004)",Action|Adventure|Animation|Children|Comedy,YES,2004,2000,125,3.836
1517,15,50872,3.0,1510577962,Ratatouille (2007),Animation|Children|Drama,YES,2007,2000,72,3.8680555555555554
1521,15,60069,3.5,1510577951,WALL·E (2008),Adventure|Animation|Children|Romance|Sci-Fi,YES,2008,2000,104,4.0576923076923075
1522,15,63859,3.0,1510578158,Bolt (2008),Action|Adventure|Animation|Children|Comedy,YES,2008,2000,18,3.388888888888889
1525,15,68954,3.5,1510577953,Up (2009),Adventure|Animation|Children|Drama,YES,2009,2000,105,4.004761904761905
1529,15,71264,2.5,1510578103,Cloudy with a Chance of Meatballs (2009),Animation|Children|Fantasy|IMAX,YES,2009,2000,17,3.5294117647058822
1561,15,134853,4.5,1510572481,Inside Out (2015),Adventure|Animation|Children|Comedy|Drama|Fantasy,YES,2015,2010,43,3.813953488372093
1564,15,152081,3.0,1510578039,Zootopia (2016),Action|Adventure|Animation|Children|Comedy,YES,2016,2010,32,3.890625
1584,16,745,4.0,1377476943,Wallace & Gromit: A Close Shave (1995),Animation|Children|Comedy,YES,1995,1990,48,3.8958333333333335
1595,16,1148,4.0,1377476909,Wallace & Gromit: The Wrong Trousers (1993),Animation|Children|Comedy|Crime,YES,1993,1990,56,4.035714285714286
1611,16,1223,4.0,1377477855,"Grand Day Out with Wallace and Gromit, A (1989)",Adventure|Animation|Children|Comedy|Sci-Fi,YES,1989,1980,28,4.089285714285714
1653,16,5971,4.0,1377477298,My Neighbor Totoro (Tonari no Totoro) (1988),Animation|Children|Drama|Fantasy,YES,1988,1980,37,3.9594594594594597
1654,16,6350,3.5,1377477637,Laputa: Castle in the Sky (Tenkû no shiro Rapyuta) (1986),Action|Adventure|Animation|Children|Fantasy|Sci-Fi,YES,1986,1980,24,4.0625
1662,16,60069,4.0,1377477834,WALL·E (2008),Adventure|Animation|Children|Romance|Sci-Fi,YES,2008,2000,104,4.0576923076923075
1663,16,68954,4.0,1377477654,Up (2009),Adventure|Animation|Children|Drama,YES,2009,2000,105,4.004761904761905
1664,16,78499,4.5,1377477830,Toy Story 3 (2010),Adventure|Animation|Children|Comedy|Fantasy|IMAX,YES,2010,2000,55,4.109090909090909
1667,17,1,4.5,1305696483,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,YES,1995,1990,215,3.9209302325581397
1692,17,1032,4.5,1305696325,Alice in Wonderland (1951),Adventure|Animation|Children|Fantasy|Musical,YES,1951,1950,40,3.375
1724,17,2005,4.0,1305696258,"Goonies, The (1985)",Action|Adventure|Children|Comedy|Fantasy,YES,1985,1980,57,3.5701754385964914
1749,17,5971,4.0,1326943200,My Neighbor Totoro (Tonari no Totoro) (1988),Animation|Children|Drama|Fantasy,YES,1988,1980,37,3.9594594594594597
1751,17,6350,5.0,1322628881,Laputa: Castle in the Sky (Tenkû no shiro Rapyuta) (1986),Action|Adventure|Animation|Children|Fantasy|Sci-Fi,YES,1986,1980,24,4.0625
1762,17,60069,3.5,1305696839,WALL·E (2008),Adventure|Animation|Children|Romance|Sci-Fi,YES,2008,2000,104,4.0576923076923075
1767,17,78499,4.0,1305696624,Toy Story 3 (2010),Adventure|Animation|Children|Comedy|Fantasy|IMAX,YES,2010,2000,55,4.109090909090909
1772,18,1,3.5,1455209816,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,YES,1995,1990,215,3.9209302325581397
1773,18,2,3.0,1455617462,Jumanji (1995),Adventure|Children|Fantasy,YES,1995,1990,110,3.4318181818181817
1777,18,34,2.5,1455617533,Babe (1995),Children|Drama,YES,1995,1990,128,3.65234375
1802,18,364,3.0,1455209887,"Lion King, The (1994)",Adventure|Animation|Children|Drama|Musical|IMAX,YES,1994,1990,172,3.941860465116279
1805,18,374,2.5,1455617791,Richie Rich (1994),Children|Comedy,YES,1994,1990,25,2.2
1815,18,502,2.0,1456864767,"Next Karate Kid, The (1994)",Action|Children|Romance,YES,1994,1990,15,2.3666666666666667
1820,18,586,3.5,1455748696,Home Alone (1990),Children|Comedy,YES,1990,1980,116,2.9956896551724137
1821,18,588,3.5,1455209912,Aladdin (1992),Adventure|Animation|Children|Comedy|Musical,YES,1992,1990,183,3.7923497267759565
1825,18,595,3.0,1455209900,Beauty and the Beast (1991),Animation|Children|Fantasy|Musical|Romance|IMAX,YES,1991,1990,146,3.7705479452054793
1830,18,673,3.0,1455735781,Space Jam (1996),Adventure|Animation|Children|Comedy|Fantasy|Sci-Fi,YES,1996,1990,53,2.707547169811321
1831,18,745,4.0,1460242118,Wallace & Gromit: A Close Shave (1995),Animation|Children|Comedy,YES,1995,1990,48,3.8958333333333335
1840,18,919,4.0,1455748544,"Wizard of Oz, The (1939)",Adventure|Children|Fantasy|Musical,YES,1939,1930,92,3.880434782608696
1851,18,1148,4.5,1455050359,Wallace & Gromit: The Wrong Trousers (1993),Animation|Children|Comedy|Crime,YES,1993,1990,56,4.035714285714286
1868,18,1223,4.5,1455050616,"Grand Day Out with Wallace and Gromit, A (1989)",Adventure|Animation|Children|Comedy|Sci-Fi,YES,1989,1980,28,4.089285714285714
1932,18,2422,3.0,1456864794,"Karate Kid, Part III, The (1989)",Action|Adventure|Children|Drama,YES,1989,1980,14,1.75
1943,18,2953,3.0,1456875367,Home Alone 2: Lost in New York (1992),Children|Comedy,YES,1992,1990,31,2.5161290322580645
1956,18,3751,3.5,1455529841,Chicken Run (2000),Animation|Children|Comedy,YES,2000,1990,78,3.551282051282051
1967,18,4306,4.0,1455209697,Shrek (2001),Adventure|Animation|Children|Comedy|Fantasy|Romance,YES,2001,2000,170,3.8676470588235294
1973,18,4886,4.0,1455209685,"Monsters, Inc. (2001)",Adventure|Animation|Children|Comedy|Fantasy,YES,2001,2000,132,3.871212121212121
1974,18,4896,3.5,1456923934,Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001),Adventure|Children|Fantasy,YES,2001,2000,107,3.7616822429906542
1981,18,5218,4.0,1455209763,Ice Age (2002),Adventure|Animation|Children|Comedy,YES,2002,2000,85,3.6882352941176473
2005,18,6377,4.0,1455049810,Finding Nemo (2003),Adventure|Animation|Children|Comedy,YES,2003,2000,141,3.9609929078014185
2033,18,8360,3.5,1455654935,Shrek 2 (2004),Adventure|Animation|Children|Comedy|Musical|Romance,YES,2004,2000,92,3.5760869565217392
2045,18,8961,3.5,1455209724,"Incredibles, The (2004)",Action|Adventure|Animation|Children|Comedy,YES,2004,2000,125,3.836
2054,18,30793,4.0,1455050800,Charlie and the Chocolate Factory (2005),Adventure|Children|Comedy|Fantasy|IMAX,YES,2005,2000,61,3.0
2060,18,33615,3.5,1455655026,Madagascar (2005),Adventure|Animation|Children|Comedy,YES,2005,2000,40,3.375
2070,18,38038,4.0,1455049942,Wallace & Gromit in The Curse of the Were-Rabbit (2005),Adventure|Animation|Children|Comedy,YES,2005,2000,30,3.6333333333333333
2073,18,44022,3.5,1455749359,Ice Age 2: The Meltdown (2006),Adventure|Animation|Children|Comedy,YES,2006,2000,23,3.217391304347826
2079,18,45517,3.5,1455232017,Cars (2006),Animation|Children|Comedy,YES,2006,2000,41,3.3780487804878048
2089,18,50872,3.5,1455059813,Ratatouille (2007),Animation|Children|Drama,YES,2007,2000,72,3.8680555555555554
2112,18,58299,4.0,1455749828,Horton Hears a Who! (2008),Adventure|Animation|Children|Comedy,YES,2008,2000,8,3.4375
2116,18,59784,4.0,1455749175,Kung Fu Panda (2008),Action|Animation|Children|Comedy|IMAX,YES,2008,2000,54,3.4444444444444446
2135,18,68954,4.0,1455749241,Up (2009),Adventure|Animation|Children|Drama,YES,2009,2000,105,4.004761904761905
2161,18,78499,4.0,1456744760,Toy Story 3 (2010),Adventure|Animation|Children|Comedy|Fantasy|IMAX,YES,2010,2000,55,4.109090909090909
